제작사,차명,대수,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
한국지엠,크루즈,10964,2011-02-08,2013-05-24,2015-02-26,전륜 브레이크 호스 중 한쪽에서 누유가 될 경우 잠재적으로 제동 성능 저하로 인해 제동거리가 길어 질수 있음
한국지엠,올란도,4505,2010-10-19,2011-05-24,2015-02-26,전륜 브레이크 호스 중 한쪽에서 누유가 될 경우 잠재적으로 제동 성능 저하로 인해 제동거리가 길어 질수 있음
한국지엠,말리부,46408,2011-10-18,2014-11-13,2015-03-06,뒷좌석 안전벨크 버클이 고정 부위로부터 분리될 가능성 발견
한국지엠,알페온,32207,2010-08-09,2014-11-13,2015-03-06,뒷좌석 안전벨크 버클이 고정 부위로부터 분리될 가능성 발견
한국지엠,라보,103,2014-08-27,2015-01-06,2015-04-03,자기인증표시 상의 후륜 타이어 공기압 정보 누락
한국지엠,트랙스,186,2014-12-04,2015-02-16,2015-04-03,EPS토크센서의 배선회로기판과 로터의 간섭으로 토크센서가 정상 작동하지 않을 수 있어 보조조향 동력이 상실 됨
한국지엠,트랙스,1448,2012-11-02,2013-02-28,2015-04-10,운전석 및 조수석 시트에 탑승자 하반신 고정을 강화하는 랩 벨트프리텐셔너가 장착된 차량이 충돌 사고 시 시트 벨트 풀림이 발생할 가능성이 있음
한국지엠,올란도 LPG,9338,2011-05-06,2012-11-23,2015-04-24,엔진 컨트롤 모듈과 연료 분사 컨트롤 모듈 간의 과도한 접지 전압 차이로 인해 연료 분사 신호 전달이 불안정할 가능성이 있음
한국지엠,말리부,315,2015-02-05,2015-03-05,2015-06-26,사이드에어백 공급업체가 로트 기준으로 실시한 사이드에어백 내부 인플레이터 끝단의 바디 보어 씰이 본체로부터 이탈될경우 인플레이터 기체가 샐수있고 에어백이 정상적으로 작동되지 않을 가능성
한국지엠,캡티바,27846,2010-11-03,2015-05-26,2015-06-26,배기가스 후처리 장치 및 배기 파이프가 비정상적으로 과열될 경우 엔진 쉴드에 화재가 발생할 우려
한국지엠,말리부,1358,2012-09-03,2014-02-19,2015-07-17,커넥터 핀을 절삭하는 장비의 마모로 인해 절삭 시 불필요한 급속 파편이 발생하여 연료 컨트롤 모듈 내의 회로 기판에 의도하지 않게 안착되어 단락이 발생하여 시동불량 및 시동꺼짐 발생
한국지엠,윈스톰,627,2006-04-11,2009-09-22,2015-08-14,시동 키가 OFF 위치에 있는 상태에서 차량이 자발적으로 시동이 걸렸다 꺼졌다 반복하는 현상이 발생될 가능성
현대자동차,그랜저하이브리드,10604,2013-12-24,2014-10-24,2015-02-17,브레이크액 부족 시 경고등 미점등(안전기준 제15조 위반)
현대자동차,아반떼(HD),36259,2009-11-01,2010-04-30,2015-03-06,전동식 스티어링 경고등 점등 및 스티어링 휠 무거움 발생
현대자동차,i30(FD),4446,2009-11-01,2010-04-30,2015-03-06,전동식 스티어링 경고등 점등 및 스티어링 휠 무거움 발생
현대자동차,제네시스,5002,2013-11-22,2015-02-09,2015-03-06,고압세차 등 특수 사용조건에서 리어 램프에 다량의 물 과다 유입시 후진등 전기회로 단락 발생
현대자동차,그랜드스타렉스,22,2015-09-04,2015-09-09,2015-10-26,운전석 옆 좌석 에어백 내부 결함*으로 에어백 전개 시 비정상적으로 전개되어 안전운행에 지장을 줄 가능성
현대자동차,제네시스 쿠페,446,2011-12-28,2015-04-06,2015-11-30,엔진 동력을 뒷 바퀴에 고르게 전달해 주는 기어박스(차동기어)가 차체에 제대로 고정되지 않아 주행 중 소음 및 처짐이 발생하고 안전운행에 지장을 줄 가능성
현대자동차,제네시스,12848,2013-12-01,2015-02-28,2015-12-28,측면 부위의 미세한 크랙으로 주행시 타이어 공기압이 낮아질 가능성
자일대우버스,BS090/BS106(CNG저상버스),4680,2003,2009,2015-03-05,자동차의 운행 중 외부의 환경등으로 급격한 타이어 파열시에 타이어 하우징 부식으로 인하여 승객보호 기능이 부족함
다임러트럭코리아,유니목(U400),2,2011-08-17,2014-07-28,2015-01-19,"에어드라이어에 오일 및 이 물질이 축적되면, 에어 드라이어의 내부에 장착된 안전밸브가 기능을 하지 못하여 에어드라이어의 필터 상단 부위가 파손되어 에어 누출이 발생될수 있음"
다임러트럭코리아,유니목(U500),38,2011-04-06,2014-07-25,2015-01-19,"에어드라이어에 오일 및 이 물질이 축적되면, 에어 드라이어의 내부에 장착된 안전밸브가 기능을 하지 못하여 에어드라이어의 필터 상단 부위가 파손되어 에어 누출이 발생될수 있음"
다임러트럭코리아,시타로,2,,2010-11-01,2015-03-02,보호커버 미 장착으로 보조 스위치 패널에 응축물이 직접 유입되어서 전기적 단락 발생
다임러트럭코리아,Actros,365,2011-11-29,2014-06-09,2015-07-10,"차량중량, 차체길이 안전기준 제원허용차 초과"
다임러트럭코리아,Atego,5,2014-07-03,2015-01-30,2015-10-29,"엔진, 등화장치 등으로 전기를 공급하는 전선이 주행 중 단선되어 엔진 시동꺼짐, 등화장치 미점등 등이 발생할 가능성"
르노삼성자동차(수입),QM3,20949,2013-09-11,2014-11-07,2015-05-04,전방 휀더 프로텍터와 브레이크 호스간의 간섭으로 인해 브레이크 호스와 휀더 프로텍터와의 마찰에 따른 마모 발생 우려
만트럭버스코리아,TGS 26.440 6*2-2 BLS,1,2010-01-25,2010-01-25,2015-04-24,수동 조작 밸브 에어 공급라인 부분이 정상 공정보다 깊게 천공 작업이 적용되어 갈라짐이 발생 될 수 있어 운행중 공기 누출 시 주차브레이크 제동장치가 작동하여 브레이크 캘리퍼에 열이 발생하여 제동 성능에 문제가 발생 할 수 있음
만트럭버스코리아,TGX 26.480 6*4 BLS,3,2010-03-11,2010-04-22,2015-04-24,수동 조작 밸브 에어 공급라인 부분이 정상 공정보다 깊게 천공 작업이 적용되어 갈라짐이 발생 될 수 있어 운행중 공기 누출 시 주차브레이크 제동장치가 작동하여 브레이크 캘리퍼에 열이 발생하여 제동 성능에 문제가 발생 할 수 있음
만트럭버스코리아,TGX 28.440 6*2-2 BLS,7,2010-01-27,2010-04-16,2015-04-24,수동 조작 밸브 에어 공급라인 부분이 정상 공정보다 깊게 천공 작업이 적용되어 갈라짐이 발생 될 수 있어 운행중 공기 누출 시 주차브레이크 제동장치가 작동하여 브레이크 캘리퍼에 열이 발생하여 제동 성능에 문제가 발생 할 수 있음
만트럭버스코리아,TGX 28. 480 6*2-2 BKS,58,2009-12-04,2010-04-22,2015-04-24,수동 조작 밸브 에어 공급라인 부분이 정상 공정보다 깊게 천공 작업이 적용되어 갈라짐이 발생 될 수 있어 운행중 공기 누출 시 주차브레이크 제동장치가 작동하여 브레이크 캘리퍼에 열이 발생하여 제동 성능에 문제가 발생 할 수 있음
만트럭버스코리아,TGM 18.340 4*2 BB,1,2010-07-28,2010-07-28,2015-12-23,연료히팅 릴레이에 수분이 유입되어 릴레이가 단락으로 파손되어 재시동 불가
만트럭버스코리아,TGM 18.340 4*2 BL,2,2012-04-27,2015-06-17,2015-12-23,연료히팅 릴레이에 수분이 유입되어 릴레이가 단락으로 파손되어 재시동 불가
만트럭버스코리아,TGS 28.440 6*2-2 BL,1,2014-03-19,2014-03-19,2015-12-23,연료히팅 릴레이에 수분이 유입되어 릴레이가 단락으로 파손되어 재시동 불가
메르세데스벤츠코리아,C200,28,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,C220 Bluetec,47,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,C250 Bluetec 4Matic,6,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,E200 CGI,31,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,E220 CDI,458,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,E250 Bluetec 4Matic,224,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,E300,132,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,E300 4Matic,144,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,E350 Bluetec 4Matic,37,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,E400 4Matic,17,2014-10-08,2014-10-24,2015-02-16,시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음
메르세데스벤츠코리아,E220 CDI,14341,2009-03-25,2014-11-06,2015-02-15,엔진커버가 엔진배선과 간섭되어 배선이 손상될 수 있음
메르세데스벤츠코리아,CLS350,1457,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,CLS400,230,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,CLS 63 AMG,207,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,CLS 63 AMG 4Matic,62,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,CLS 63 S 4Matic,23,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,E200 CGI,1649,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,E300,8507,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,E300 4Matic,2689,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,E350,139,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,E350 4Matic,1301,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,E400 4Matic,179,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,E63 AMG,6,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,E63 AMG 4Matic,55,2012-07-02,2014-12-01,2015-03-16,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,C220 Bluetec,310,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,C250 Bluetec 4Matic,81,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,CLA200 CDI,2,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,CLA200 CDI 4Matic,2,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,CLS250 BlueTEC 4Matic,171,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,E220 Bluetec,593,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,E250 Bluetec 4Matic,284,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,GLA200 CDI,80,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,GLA200 CDI 4Matic,4,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,GLK220 CDI 4Matic,45,2014-10-01,2015-02-12,2015-04-27,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음
메르세데스벤츠코리아,C200,1187,2013-12-16,2014-10-23,2015-04-27,연료탱크에 장착된 연료 공급 라인이 분리되어 연료 공급 압력이 떨어져 시동 꺼짐과 시동정지후 시동이 걸리지 않을 가능성
메르세데스벤츠코리아,A180 CDI,8,2014-09-08,2014-11-07,2015-08-03,"조수석 내부 퓨즈박스의 일부 퓨즈들이 정상적으로 장착되지않아 선루프, 에어백, 계기판, 와이퍼 등이 작동되지 않을 가능성"
메르세데스벤츠코리아,B200 CDI,13,2014-09-08,2014-11-07,2015-08-03,"조수석 내부 퓨즈박스의 일부 퓨즈들이 정상적으로 장착되지않아 선루프, 에어백, 계기판, 와이퍼 등이 작동되지 않을 가능성"
메르세데스벤츠코리아,CLA 250 4MATIC,7,2014-09-08,2014-11-07,2015-08-03,"조수석 내부 퓨즈박스의 일부 퓨즈들이 정상적으로 장착되지않아 선루프, 에어백, 계기판, 와이퍼 등이 작동되지 않을 가능성"
메르세데스벤츠코리아,CLA 45 AMG 4MATIC,2,2014-09-08,2014-11-07,2015-08-03,"조수석 내부 퓨즈박스의 일부 퓨즈들이 정상적으로 장착되지않아 선루프, 에어백, 계기판, 와이퍼 등이 작동되지 않을 가능성"
메르세데스벤츠코리아,GLA 200 CDI,8,2014-09-08,2014-11-07,2015-08-03,"조수석 내부 퓨즈박스의 일부 퓨즈들이 정상적으로 장착되지않아 선루프, 에어백, 계기판, 와이퍼 등이 작동되지 않을 가능성"
메르세데스벤츠코리아,E300,2,2015-04-01,2015-04-30,2015-09-14,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,E300 4Matic,39,2015-04-01,2015-04-30,2015-09-14,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,CLS 400,1,2015-04-01,2015-04-30,2015-09-14,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견
메르세데스벤츠코리아,A200 CDI,2,2013-07-23,2014-01-16,2015-10-29,타이밍벨트 텐셔너*의 가스켓** 결함으로 엔진오일이 누유되어 엔진룸에 화재가 발생할 가능성
메르세데스벤츠코리아,B200 CDI,1,2012-06-04,2012-06-04,2015-10-29,타이밍벨트 텐셔너*의 가스켓** 결함으로 엔진오일이 누유되어 엔진룸에 화재가 발생할 가능성
메르세데스벤츠코리아,C220 Bluetec,6,2014-12-04,2015-02-16,2015-10-29,타이밍벨트 텐셔너*의 가스켓** 결함으로 엔진오일이 누유되어 엔진룸에 화재가 발생할 가능성
메르세데스벤츠코리아,C250 Bluetec 4Matic,3,2014-12-05,2014-12-11,2015-10-29,타이밍벨트 텐셔너*의 가스켓** 결함으로 엔진오일이 누유되어 엔진룸에 화재가 발생할 가능성
메르세데스벤츠코리아,E220 Bluetec,1,2014-07-04,2014-07-04,2015-10-29,타이밍벨트 텐셔너*의 가스켓** 결함으로 엔진오일이 누유되어 엔진룸에 화재가 발생할 가능성
메르세데스벤츠코리아,E250 Bluetec 4Matic,4,2014-07-07,2014-12-09,2015-10-29,타이밍벨트 텐셔너*의 가스켓** 결함으로 엔진오일이 누유되어 엔진룸에 화재가 발생할 가능성
메르세데스벤츠코리아,E250 CDI 4Matic,1,2013-04-25,2013-04-25,2015-10-29,타이밍벨트 텐셔너*의 가스켓** 결함으로 엔진오일이 누유되어 엔진룸에 화재가 발생할 가능성
메르세데스벤츠코리아,S63 AMG MATIC 쿠페,145,2013-07-23,2014-01-16,2015-11-13,앞열 좌석안전띠의 조립불량으로 좌석안전띠가 정상적으로 체결되지 않을 가능성
메르세데스벤츠코리아,C200,57,2015-07-01,2015-09-30,2015-11-23,엔진 배기 캠축 용접 불량으로 엔진 작동시 캠축이 파손되어 주행 중 시동이 꺼질 가능성
메르세데스벤츠코리아,CLA250 4MATIC,5,2015-07-01,2015-09-30,2015-11-23,엔진 배기 캠축 용접 불량으로 엔진 작동시 캠축이 파손되어 주행 중 시동이 꺼질 가능성
메르세데스벤츠코리아,E200 CGI,58,2015-07-01,2015-09-30,2015-11-23,엔진 배기 캠축 용접 불량으로 엔진 작동시 캠축이 파손되어 주행 중 시동이 꺼질 가능성
메르세데스벤츠코리아,SLK200,1,2015-07-01,2015-09-30,2015-11-23,엔진 배기 캠축 용접 불량으로 엔진 작동시 캠축이 파손되어 주행 중 시동이 꺼질 가능성
메르세데스벤츠코리아,CLA250 4MATIC,2,2015-07-01,2015-09-30,2015-11-23,엔진 배기 캠축 용접 불량으로 엔진 작동시 캠축이 파손되어 주행 중 시동이 꺼질 가능성
메르세데스벤츠코리아,S500 HYBRID,2,2014-07-24,2015-02-04,2015-11-27,자동차 구동방식이 전기모드에서 엔진모드로 전환시 소프트웨어 결함으로 엔진에 연료공급이 원활하지 않아 시동이 꺼질 수 있는 가능성
메르세데스벤츠코리아,S63 AMG MATIC 쿠페,184,2014-04-08,2015-11-21,2015-12-07,엔진 ECU(전자제어시스템) 프로그램 결함으로 인해 주행 중 감속시 순간적으로 연료 공급이 원활하지 않아 시동이 꺼질 수 있는 가능성
메르세데스벤츠코리아,S63 AMG MATIC 롱,537,2013-05-13,2015-11-19,2015-12-07,엔진 ECU(전자제어시스템) 프로그램 결함으로 인해 주행 중 감속시 순간적으로 연료 공급이 원활하지 않아 시동이 꺼질 수 있는 가능성
메르세데스벤츠코리아,E200 CGI,116,2015-06-10,2015-07-16,2015-12-28,다이나믹 엔진 후드가 작동되는 전방 충돌이 발생할 경우 엔진후드가 정상적으로 작동되지 않을 가능성
메르세데스벤츠코리아,E200 Bluetec,95,2015-06-10,2015-07-16,2015-12-28,다이나믹 엔진 후드가 작동되는 전방 충돌이 발생할 경우 엔진후드가 정상적으로 작동되지 않을 가능성
메르세데스벤츠코리아,E250 Bluetec 4Matic,443,2015-06-10,2015-07-16,2015-12-28,다이나믹 엔진 후드가 작동되는 전방 충돌이 발생할 경우 엔진후드가 정상적으로 작동되지 않을 가능성
메르세데스벤츠코리아,E300,129,2015-06-10,2015-07-16,2015-12-28,다이나믹 엔진 후드가 작동되는 전방 충돌이 발생할 경우 엔진후드가 정상적으로 작동되지 않을 가능성
메르세데스벤츠코리아,E300 4Matic,70,2015-06-10,2015-07-16,2015-12-28,다이나믹 엔진 후드가 작동되는 전방 충돌이 발생할 경우 엔진후드가 정상적으로 작동되지 않을 가능성
메르세데스벤츠코리아,E350 Bluetec 4Matic,22,2015-06-10,2015-07-16,2015-12-28,다이나믹 엔진 후드가 작동되는 전방 충돌이 발생할 경우 엔진후드가 정상적으로 작동되지 않을 가능성
메르세데스벤츠코리아,E400 4Matic,37,2015-06-10,2015-07-16,2015-12-28,다이나믹 엔진 후드가 작동되는 전방 충돌이 발생할 경우 엔진후드가 정상적으로 작동되지 않을 가능성
메르세데스벤츠코리아,C200,118,2015-03-16,2015-04-20,2015-12-28,잘못된 전조등 광축 설정으로 전조등이 상향으로 높아 질 수 있어 마주오는 운전자의 눈부심 증대 가능성
메르세데스벤츠코리아,C200 Bluetec,74,2015-03-16,2015-04-20,2015-12-28,잘못된 전조등 광축 설정으로 전조등이 상향으로 높아 질 수 있어 마주오는 운전자의 눈부심 증대 가능성
메르세데스벤츠코리아,CLA200 CDI,10,2015-10-28,2015-11-19,2015-12-28,고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성
메르세데스벤츠코리아,CLA200 CDI 4Matic,2,2015-10-28,2015-11-19,2015-12-28,고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성
메르세데스벤츠코리아,CLS250 BlueTEC 4Matic,75,2015-10-28,2015-11-19,2015-12-28,고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성
메르세데스벤츠코리아,E220 Bluetec,352,2015-10-28,2015-11-19,2015-12-28,고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성
메르세데스벤츠코리아,E250 Bluetec 4Matic,190,2015-10-28,2015-11-19,2015-12-28,고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성
메르세데스벤츠코리아,GLA200 CDI,4,2015-10-28,2015-11-19,2015-12-28,고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성
메르세데스벤츠코리아,GLA200 CDI 4Matic,7,2015-10-28,2015-11-19,2015-12-28,고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성
메르세데스벤츠코리아,C250 Bluetec 4Matic,90,2014-01-27,2014-12-01,2015-12-28,전동식 파워 스티어링 소프트웨어 결함으로 파워스티어링이 작동되지 않아 안전운행에 지장
메르세데스벤츠코리아,C300 4Matic,1,2014-01-27,2014-12-01,2015-12-28,전동식 파워 스티어링 소프트웨어 결함으로 파워스티어링이 작동되지 않아 안전운행에 지장
미쓰비시자동차,파제로,26,2009,2012,2015-01-15,엔진 타이밍 체인 텐셔너의 장력 조절 기구의 부적절한 구조로 인하여 타이밍 체인의 장력 부족으로 비정상적인 소음이 발생할 가능성이 있음
미쓰비시자동차,랜서(CY4A),266,2009-04-23,2010-10-04,2015-08-17,"ETACS 전자제어장치내의 전기 부품의 저항 증가시 전조등이 소등될 수 있고 전면 창유리 와이퍼가 작동하지 않을 수 도 있음, 불로우 모터의 샤프트와 베어링이 고착되어 블로우 모터가 정지되어 전면창유리 습기 제거가 되지 않을 가능성"
미쓰비시자동차,랜서(CY4A-1),51,2010-01-13,2010-03-10,2015-08-17,"ETACS 전자제어장치내의 전기 부품의 저항 증가시 전조등이 소등될 수 있고 전면 창유리 와이퍼가 작동하지 않을 수 도 있음, 불로우 모터의 샤프트와 베어링이 고착되어 블로우 모터가 정지되어 전면창유리 습기 제거가 되지 않을 가능성"
