제작사,차명,생산시작,생산종료,리콜사유,대수,제조사,리콜일
한국토요타자동차㈜,렉서스 RX400H,"`06.3.1,`06.8.1",`06.8.9,"자동차의 인버터(교류전력을 직류전력으로 변환해주는 장치) 불량으로 주행 중 하이브리드 기능이 상실되고 이 경우 출력이 제한(엔진 최고회전수 2,000rpm)되어 안전운행에 지장을 줄 수 있는 결함이 발견됨",NA,토요타,2011-07-25
한국토요타자동차㈜,렉서스 ES330렉서스 RX330,`04.6.1,`05.3.31,엔진의 동력을 발전기와 파워핸들에 전달하는 풀리* 불량으로 발전이 되지 않거나 핸들이 갑자기 무거워져 안전운행에 지장,NA,토요타,2011-11-28
크라이슬러코리아㈜,짚랭글러,`07.2.7,`09.8.9,타이어 커버와 브레이크오일 파이프가 간섭되어 브레이크 오일이 누유 될 수 있고 이 경우 브레이크 성능이 저하 될 가능성이 있어 안전운행에 지장,NA,크라이슬러,2011-02-10
크라이슬러코리아㈜,짚랭글러,`10.7.7,`10.9.10,서스펜션(노면의 충격을 흡수하는 장치)의 고정 볼트가 규정 토오크로 조립되지 않아 주행 중 볼트가 풀릴 경우 조향력이 상실되어 안전운행에 지장을 줄 수 있는 결함이 발견됨,NA,크라이슬러,2011-04-07
크라이슬러코리아㈜,그랜드보이저,`09.8.18,`10.5.17,키(key)장치 고정 불량으로 주행 중 진동에 의하여 시동키가 움직이면서 시동이 꺼질 가능성이 있어 안전운행에 지장,NA,크라이슬러,2011-08-11
크라이슬러코리아㈜,그랜드보이저,`07.12.10,`08.1.30,에어컨 방열기에서 발생한 물이 차체외부로 배출되어야 하나 배출되지 못하고 에어백제어장치에 유입되어 에어백이 작동되지 않아야 할 조건에서 작동될 가능성이 있어 안전운행에 지장,NA,크라이슬러,2011-10-20
크라이슬러코리아㈜,그랜드보이저,`11.2.14,`11.5.17,브레이크 작동 시 브레이크 패드에서 규정(자동차안전기준에관한규칙 제114조)보다 높은 열이 발생하는 안전기준에 부적합한 결함,NA,크라이슬러,2011-11-24
크라이슬러코리아㈜,짚그랜드체로키,`00.1.31,`00.6.12,전기식 냉각 팬에 장착된 플라스틱 날개가 분리 될 수 있어 안전운행에 지장,NA,크라이슬러,2011-11-24
메르세데스벤츠코리아㈜,S350L,`10.7.8,`10.7.12,엔진 진동댐퍼의 재질 불량으로 이상음이 발생할 수 있고 엔진풀리에서 이탈 될 경우 주변 부품이 손상되거나 정비 시 작업가 다칠수 있는 결함이 발견됨,NA,다임러벤츠,2011-04-25
메르세데스벤츠코리아㈜,ML270CDIML320ML400CDIML500ML55AMG,`99.8.1,`04.6.30,브레이크 페달의 작동을 감지하는 브레이크 등 스위치 작동 불량으로 속도를 일정하게 유지 시켜주는 정속주행 장치 해제가 지연되어 안전운행에 지장,NA,다임러벤츠,2011-10-04
메르세데스벤츠코리아㈜,S350BlueTecS350S400 HybridS500S500 4maticS600,`11.9.28,`11.9.30,운전석 및 동반석의 안전띠에 사용되는 볼트불량으로 사고 시 부상의 위험이 증가,NA,다임러벤츠,2011-12-05
(주)볼보자동차코리아,S80/XC70/XC60,`06.8.31,`10.5.17,연료 공급량을 제어하는 프로그램 불량으로 연료가 기준보다 많이 공급되어 연소되지 않고 남은 연료가 엔진오일 쪽으로 흘러들어가 오일량이 증가될 수 있고 이 경우 엔진의 성능이 저하되어 안전운행에 지장,NA,볼보,2011-02-07
(주)볼보자동차코리아,S60,`10.6.22,`11.5.18,연료공급펌프를 제어하는 프로그램 불량으로 주행 중 시동이 꺼질 가능성이 있어 안전운행에 지장,NA,볼보,2011-06-03
(주)볼보자동차코리아,S60,`11.1.20,11.1.28,연료파이프 커넥터 불량으로 주행 중 연료가 누출되어 화재 및 시동이 꺼질 가능성이 있어 안전운행에 지장,NA,볼보,2011-06-03
(주)볼보자동차코리아,XC90,`10.1.29,`10.8.16,파워핸들 유압호스의 커넥터 불량으로 유압오일이 누출되어 주행 중 조향력이 상실 될 가능성이 있어 안전운행에 지장,NA,볼보,2011-06-03
(주)볼보자동차코리아,S80,`06.3.8,`07.5.16,"파워핸들 유압호스를 잘못배치 하여 접히는 부분이 발생하고, 이 경우 유압이 상승되면서 호스를 손상시켜 오일이 누유 될 가능성이 있어 안전운행에 지장",NA,볼보,2011-08-19
(주)볼보자동차코리아,S80XC70XC60,`09.3.27,`10.5.17,"엔진벨트(파워핸들, 발전기 등을 작동)의 장력을 조절하는 장치(텐셔너)의 고정 부싱이 조기마모 될 가능성이 발견되었고, 이 경우 소음이 발생하고 심할 경우 엔진벨트가 이탈되어 안전운행에 지장",NA,볼보,2011-10-14
(주)볼보자동차코리아,S80XC70,`06.1.25,`09.3.27,"엔진벨트(파워핸들, 발전기 등을 작동)의 장력을 조절하는 장치(텐셔너)의 고정 부싱이 조기마모 될 가능성이 발견되었고, 이 경우 소음이 발생하고 심할 경우 엔진벨트가 이탈되어 안전운행에 지장",NA,볼보,2011-12-30
볼보그룹코리아㈜트럭,FX6*4 / FH6*2 / FM6*2,`10.12.13,`11.1.14,조향장치(조향암)를 고정하는 볼트의 재질불량으로 풀릴 가능성이 있어 안전운행에 지장,NA,볼보,2011-06-07
스카니아코리아㈜,히노카고트럭,`08.3.12,`10.12.28,연료공급펌프 기어의 파손(재질불량)으로 주행중 시동이 꺼질 수 있는 가능성이 발견되어 안전운행에 지장,NA,스카니아,2011-02-17
지엠코리아㈜,캐딜락CTS,`02.5.10,`06.4.28,앞 브레이크 파이프의 일부가 부식되어 브레이크 오일이 누유 되어 운행 중 안전운행에 지장을 줄 수 있는 가능성이 발견되어 안전운행에 지장,NA,지엠대우,2011-02-21
지엠코리아㈜,캐딜락SRX,`11.1.17,`11.2.10,공조 시스템을 컨트롤하는 ECC모듈프로그램 오류로 성에 제거조건에서 성에가 원활히 이루어지지 않아 안전운행에 지장,NA,지엠대우,2011-03-21
지엠코리아㈜,캐딜락 CTS,`08.8.6,`08.11.6,뒤 바퀴 정열을 조정하는 너트 체결 부위가 풀릴 가능성이 있고 이 경우 조향력이 상실 될 가능성이 있어 운행 중 안전운행에 지장,NA,지엠대우,2011-04-11
지엠코리아㈜,캐딜락 CTS,`04.8.13,`06.3.29,조수석 에어백을 작동시킬 때 탑승여부를 감지하는 승객탑승감지장치가 정상적으로 작동되지 않아 에어백이 작동되지 않을 수 있는 가능성이 발견됨,NA,지엠대우,2011-04-11
한불모터스㈜,푸조,`06.12.15,`09.2.24,브레이크 진공펌프의 체크밸브가 작동되지 않을 가능성이 있고 이 경우 브레이크 페달이 딱딱해 지고 제동거리가 길어질 수 있는 결함이 발견되어 안전운행에 지장,NA,푸조,2011-02-28
한불모터스㈜,"207GT, 207CC",`10.12.7,`11.4.19,배터리 케이블(-)의 길이가 짧아 주행 중 케이블과 배터리단자 사이의 접점이 끊어질 가능성이 있고 이 상태로 운전시 시동이 꺼질 수 있는 결함으로 안전운행에 지장,NA,푸조,2011-11-07
한불모터스㈜,"308CC, 3008",`10.3.5,`10.10.14,엔진에 연료를 공급하고 남은 연료를 연료탱크로 돌려보내는 연료리턴파이프와 연료필터 지지대가 접촉되어 연료리턴파이프가 마모되어 연료가 누유되어 안전운행에 지장,NA,푸조,2011-11-14
아우디폭스바겐코리아㈜,폭스바겐Jetta 2.5,`06.1.6,`08.11.29,워셔액탱크 돌출부위와 연료호스가 간섭되어 연료가 누유될 가능성이 있고 이 경우 화재가 발생할수 있는 결함으로 안전운행에 지장,NA,아우디,2011-02-28
아우디폭스바겐코리아㈜,R8,`10.10.1,`11.6.30,연료호스와 엔진방열판이 접촉되어 연료호스 손상으로 화재가 발생될 가능성이 있어 안전운행에 지장,NA,아우디,2011-08-27
아우디폭스바겐코리아㈜,Golf2.0 TDIGolf2.0 GTDJetta2.0 TDIPassat2.0 TDICC2.0 TDITiguan2.0 TDI,`09.1.6,`11.1.24,연료공급 파이프가 진동에 의하여 균열이 발생할 수 있고 이 경우 누유 된 연료에 화재가 발생하여 안전운행에 지장,NA,아우디,2011-12-27
혼다코리아㈜,CIVIC HYBRID,`05.9.6,`06.11.1,DC-DC컨버터 결함으로 주행 중 컨버터 내의다이오드가 단락 될 가능성이 있고 이 경우 시동이 꺼질수 있고 재시동이 걸리지 않는 결함으로 안전운행에 지장,NA,혼다,2011-03-14
혼다코리아㈜,CIVIC,`08.7.18,`10.7.19,엔진 냉각수 펌프를 고정하는 볼트가 규정보다 낮게 체결되어 풀릴 가능성이 있고 이 경우 주행 중 시동이 꺼질 가능성이 있어 안전운행에 지장,NA,혼다,2011-08-01
혼다코리아㈜,CR-V,`05.10.5,`06.7.11,운전석 파워 윈도우 스위치 전기 접점이 마모되고 마모된 이물질이 스위치 단자 사이에 쌓여 접점불량 발생으로 발열과 연소될 가능성,NA,혼다,2011-09-15
다임러트럭코리아㈜,Actros,`10.5.20,`10.5.26,배터리케이블과 단자가 부족한 압력으로 조립되어 케이블과 단자 사이에서 스파크가 발생할 수 있고 심한 경우 화재가 발생할 수 있는 가능성이 있어 안전운행에 지장,NA,다임러벤츠,2011-03-31
다임러트럭코리아㈜,유니목,`08.8.8,`10.9.14,엔진  흡입공기 예열시스템에 공급되는 전원 자동 차단회로의 오 작동으로 화재의 가능성이 있어 안전운행에 지장,NA,다임러벤츠,2011-07-06
다임러트럭코리아㈜,악트로스,`07.7.14,`11.1.12,엔진에 있는 배선고정 장치와 전기배선의 간섭이 발생하여 피복이 벗겨지는 경우 화재가 발생하여 안전운행에 지장,NA,다임러벤츠,2011-08-01
다임러트럭코리아㈜,악트로스,`07.7.14,`10.4.19,엔진오일 점검용 구멍 마개가 이탈되어 엔진오일이 누유 될 경우 화재가 발생 할 수 있어 안전운행에 지장 ,NA,다임러벤츠,2011-08-01
다임러트럭코리아㈜,아테고,`05.7.13,`05.7.26,노면 진동에 의하여 연료탱크 고정레일이 떨어져 연료탱크와 간섭이 발생하여 연료탱크가 파손되어 안전운전행에 지장,NA,다임러벤츠,2011-09-02
만트럭버스코리아㈜,만 트랙터TGSTGX,`09.8.10,`11.2.17,주차브레이크 작동장치(밸브)를 조립할 때 고정클램프를 장착하지 않아 주행 중 주차브레이크가 작동(제동체결)되어 화재가 발생할 가능성이 있어 안전운행에 지장,NA,만트럭,2011-06-20
만트럭버스코리아㈜,만트랙터,`08.1.14,`09.12.04,브레이크가 작동된 후 원상태로 복귀 되어야 하나 브레이크 갤리퍼 피스톤(제동시 브레이크 페드에 압력을 주는 부품)이 복귀되지 않아 제동체결로 주행 중 화재가 발생할 가능성이 있어 안전운행에 지장,NA,만트럭,2011-06-20
만트럭버스코리아㈜,만 트랙터TGX,`10.1.22,`10.10.1,브레이크가 작동된 후 원상태로 복귀 되어야 하나 브레이크 갤리퍼 피스톤(제동시 브레이크 페드에 압력을 주는 부품)이 복귀되지 않아 제동체결로 주행 중 화재가 발생할 가능성이 있어 안전운행에 지장,NA,만트럭,2011-07-25
만트럭버스코리아㈜,만트랙터,`05.6.23,`07.12.20,브레이크가 작동된 후 원상태로 복귀 되어야 하나 브레이크 갤리퍼 피스톤(제동시 브레이크 페드에 압력을 주는 부품)이 복귀되지 않아 제동체결로 주행 중 화재가 발생할 가능성이 있어 안전운행에 지장,NA,만트럭,2011-11-10
㈜재규어랜드로버코리아,XFXK,`09.9.2,`10.2.27,파워핸들 유압파이프가 부식(재질불량) 되어 구멍이 발생될 가능성이 있고 이 경우 오일이 누출되어 핸들이 갑자기 무거워지거나 화재가 발생할 가능성이 있어 안전운행에 지장,NA,재규어랜드로버,2011-07-11
㈜재규어랜드로버코리아,X-type,`07.12.18,`09.12.15,정속주행 장치 프로그램 오류로 차량의 속도제어가 되지 않거나 제동거리가 길어져 안전운행에 지장,NA,재규어랜드로버,2011-10-10
스투트가르트스포츠카㈜,911터보/911터보카브리올레/911터보S/ 911터보S카브리올레/911GT3,`09.7.1,`10.9.30,바퀴를 고정하는 볼트의 조임력이 약하여 휠 허브와 휠 베어링에서 소음이 발생하거나 심한 경우 손상될 수 있어 안전운행에 지장,NA,포르쉐,2011-05-23
포드세일즈서비스코리아(유),파이브헌더레드,`06.9.5,`06.9.11,연료탱크와 연료주입장치의 연결부위 용접이 부적절하여 충격 시 연료가 누유 될 가능성이 있고 이 경우 화재의 가능성이 있어 안전운행에 지장,NA,포드,2011-08-01
비엠더블유코리아㈜_,X5X6,`08.10.9,`09.6.12,"겨울철 연료를 예열해 주는 히터(연료필터 내부에 장착)를 작동시키는 전기접점이 습기에 의한 고장으로 꺼지지 않아 배터리가 방전되어 시동이 걸리지 않거나, 과열로 화재가 발생될 가능성이 있어 안전운행에 지장",NA,BMW,2011-09-30
비엠더블유코리아㈜_,550i750i US750Li750Li US750ix US7 HybridX6 50iX6 HybridX5 50iX5 MX6 M760LiRolls-Royce,`08.5.7,`10.11.8,압축된 공기를 강제로 엔진에 넣어 출력을 향상 시켜주는 터보의 냉각펌프 제어장치 결함으로 냉각펌프에 화재가 발생하여 안전운행에 지장,NA,BMW,2011-12-02
비엠더블유코리아㈜_,X3520d120d,`08.9.15,`09.5.12,"겨울철 연료를 예열해 주는 히터(연료필터 내부에 장착)를 작동시키는 전기접점이 습기에 의한 고장으로 꺼지지 않아 배터리가 방전되어 시동이 걸리지 않거나, 과열로 화재가 발생될 가능성이 있어 안전운행에 지장",NA,BMW,2011-12-30
비엠더블유코리아㈜_,318i320i325i325xi330i330xi,`01.8.28,`05.1.13,자동차의 방향지시등ㆍ미등ㆍ브레이크등에 전기를 공급하는 컨넥터 불량으로 점등이 되지 않을 가능성,NA,BMW,2011-12-30
㈜에프엠케이,마제라티 콰토르포르테마제라티 그란투리스모마제라티 그란투리스모S,``08.7.3,`08.9.30,뒷 바퀴 타이로드 결함으로 인해 조향에 영향을 주어 안전운행에 지장,NA,마세라티-페라리,2011-10-10
스바루코리아㈜,레거시아웃백,`10.1.7,`11.5.20,창 닦이기(와이퍼)가 작동되지 않아 주행 중 시야 확보가 어려울 가능성이 있어 안전운행에 지장,NA,스바루,2011-10-21
스바루코리아㈜,레거시아웃백,`10.8.3,`11.7.1,자동차 지붕에 설치한 보조창(선루프) 유리 접착 불량으로 주행 중 유리가 떨어져 안전운행에 지장,NA,스바루,2011-10-21
한국닛산㈜,Rogue,`10.8.17,`10.10.30,주행 중 파워스티어링 제어장치 결함으로 핸들이 무거워져 안전운행에 지장,NA,닛산,2011-12-26
한국닛산㈜,M56,`11.6.11,`11.10.3,엔진오일필터와 엔진오일쿨러를 연결한는 오일쿨러 커넥터 볼트 결함으로 볼터에 균열이 발생할 경우 엔진오일이 누유되어 안전운행에 지장,NA,닛산,2011-12-26
(유)기흥모터스,FLSTC/FLSTF/FLSTFB,`10.6.23,`10.9.24,연료펌프 등을 제어하는 전자장치(BCM)에 수분이 유입될 가능성이 있고 이 경우 오작동을 일으켜 주행 중 시동이 꺼질 수 있는 결함이 발견되어 안전운행에 지장,NA,애스턴마틴,2011-03-02
㈜바이크코리아,GRAND DINK 125L,`08.12.18,`10.6.10,속도계 지시속도가 실제속도 보다 낮게 지시되어 안전기준에 부적합한 결함이 발견,NA,기타,2011-04-01
㈜스즈키씨엠씨,GSX1300R외8차종,`07.10.4,`10.4.6,정류기(교류 전기를 직류 전기로 바꾸어 주는 장치) 불량으로 충전이 되지 않아 주행 중 시동이 꺼질 수 있어 안전운행에 지장,NA,스즈키,2011-03-31
㈜케이에스비,"돌핀110,씨알에스125",`09.9.15,`09.12.16,"씨알에스 125(자기인증 적합조사결과 가속능력 및 등판능력, 속도계 및 최고속도제한장치가 안전기준에 부적합  ㆍ돌핀 110(자기인증 적합조사결과 가속능력, 최고속도제한장치 및 제동성능이 안전기준에 부적합)",NA,기타,2011-05-30
㈜케이케이엠모터코리아,Judy Special,`09.2.22,NA,이륜자동차의 전조등은 상대방이 쉽게 확인할 수 있도록 시동과 동시에 상시 점등되어야 하나 ON/OFF 스위치를 설치하여 안전기준(제75조)에 부적합,NA,기타,2011-06-10
진일엔지니어링㈜,레쿤125,`08.8.27,NA,이륜자동차의 전조등은 상대방이 쉽게 확인할 수 있도록 시동과 동시에 상시 점등되어야 하나 ON/OFF 스위치를 설치하여 안전기준(제75조)에 부적합,NA,기타,2011-06-17
혼다코리아㈜ 이륜,SHADOW750,`09.12.23,`11.2.25,이륜자동차가 넘어질 경우에만 안전을 위해 시동을 꺼지게 하는 장치(뱅크앵글센서) 이상으로 주행 중에도 시동이 꺼질 수 있는 결함이 발견되어 안전운행에 지장 ,NA,혼다,2011-07-01
혼다코리아㈜ 이륜,ST1300A,`08.1.24,`10.5.28,뒷바퀴 브레이크 호스와 전기배선 고정장치가 접촉되면서 브레이크 호스 마모로 오일이 누유되어 주행 중 브레이크가 작동되지 않을 가능성이 있어 안전운행에 지장,NA,혼다,2011-08-10
혼다코리아㈜ 이륜,GL1800,`01.7.24,`09.3.26,이륜자동차의 브레이크 작동 후 브레이크액이 회수 되지 않아 뒷바퀴 제동력이 풀리지 않아 안전운행에 지장,NA,혼다,2011-12-26
㈜캄피오니모토트레이딩,MTS1200ABSMTS1200S TOURINGMTS1200S SPORT,`09.11.13,`10.9.24,연료량을 제어하는 프로그램 결함으로 주행 중 시동이 꺼질 가능성이 있는 결함이 발견되어 안전운행에 지장,NA,기타,2011-07-06
㈜캄피오니모토트레이딩,MTS1200S TOURING,`10.5.7,`10.6.30,시동을 걸었을 때는 핸들잠금장치가 해제되어야 하나 해제되지 않아 안전운행 지장,NA,기타,2011-07-06
㈜캄피오니모토트레이딩,"MULTISTRADA1200ABS, MULTISTRADA1200S YOURING, MULTISTRADA1200S SPORTS",`10.9.9,`10.9.28,운전자시트와 시트하단부의 브레이크 호스사이의 간극이 적어 브레이크호스가 파손되어 안전운행에 지장,NA,기타,2011-12-05
㈜캄피오니모토트레이딩,"DIAVEL, DIAVEL CARBON",`10.5.28,`11.6.13,번호판을 고정시켜주는 볼트의 조임이 부족하여 체인가드 및 사이드스텐드에 변형이 발생하여 안전운행에 지장,NA,기타,2011-12-05
㈜모터퀴드,MOTO STRADA F4 1000B,`09.10.27,`10.9.7,이륜자동차 차체(동승자용 발판 연결부위) 강성부족으로 균열되어 동승자용 발판이 탈락될 수 있는 가능성이 있어 안전운행 지장,NA,기타,2011-08-29
현대자동차㈜,엑센트,`10.11.16,`11.5.14,정면충돌 시 배터리 전기배선 손상으로 전기합선에 의한 화재가 발생할 가능성으로 안전운행에 지장,NA,현대차,2012-03-07
현대자동차㈜,벨로스터,`11.5.15,`11.7.3,좌석 시트커버의 난연성(難燃性)이 안전기준에 부적합,NA,현대차,2012-03-07
현대자동차㈜,트라고메가트럭와이드캡뉴파워트럭,`11.3.7,`11.6.25,슬리핑 베드 내부 패드의 난연성(難燃性)이 안전기준에 부적합,NA,현대차,2012-03-07
현대자동차㈜,벨로스터,`11.4.13,`12.2.25,후륜 주차브레이크의 작동케이블과 브레이크 캘리퍼 연결부위 부식으로 인해 경사로 주차 시 차량이 뒤로 밀릴 수 있어 안전운행에 지장,NA,현대차,2012-12-17
현대자동차㈜,벨로스터,`11.11.1,`12.4.17,파노라마 선루프를 장착하는 과정에서 발생한 미세한 선루프 균열로? 주행 중 선루프 유리가 깨질 수 있어 안전운행에 지장 ,NA,현대차,2012-12-17
기아자동차㈜,모하비,`08.5.2,`09.7.13,설정속도(약64km/h) 이상에서 충돌 사고 시 운전자의 발목 부상을 줄이기 위해 브레이크 페달이 파손되게 제작되었으나 설정속도 이하 충돌 사고 시에도 파손되어 제동불량으로 2차 사고의 가능성으로 안전운행에 지장,NA,기아차,2012-06-04
기아자동차㈜,모닝,`11.1.17,`12.3.29,후륜 주차브레이크의 작동케이블과 브레이크 캘리퍼 연결부위 부식으로 인해 경사로 주차 시 차량이 뒤로 밀릴 수 있어 안전운행에 지장,NA,기아차,2012-12-17
한국지엠㈜,쉐보레아베오1.6,`10.11.24,`11.9.27,ABS 장치를 조립 할 때 수분이 함유된 조립용 윤활제를 사용하여 유압펌프 피스톤이 부식 및 ABS를 작동 오일에 공기가 혼입되어 제동성능이 떨어질 가능성,NA,지엠대우,2012-02-24
한국지엠㈜,윈스톰2.0디젤윈스톰 맥스2.0디젤,`06.4.11,`09.11.6,ABS제어장치(모듈레이터)내 일부 부품에서 부식이 발생하여 브레이크 밀림현상이 발생하여 안전운행에 지장,NA,지엠대우,2012-02-29
한국지엠㈜,알페온 2.4알페온 2.4 하이브리드알페온 3.0,`10.4.30,`12.3.5,전조등이 자동차안전기준상의 허용기준 보다 높게 비춰져 야간 운행 시 상대방 운전자의 시야확보를 어렵게 하는 등 안전운행에 지장을 줄 가능성이 발견,NA,지엠대우,2012-03-30
한국지엠㈜,올란도2.0디젤올란도2.0LPG,`11.11.7,`12.1.16,좌석이 정확히 고정되지 않아 주행 중 고정 장치가 빠질 경우 안전운행에 지장을 줄 가능성이 발견됨,NA,지엠대우,2012-04-27
한국지엠㈜,마티즈젠트라라세티토스카,`06.5.30,`10.4.26,ABS(Anti-Lock Brake System) 제어장치(모듈레이터)내 일부 부품에서 부식이 발생하여 정상적으로 브레이크를 밟더라도 제동이 늦어지거나 차량의 정지거리가 증가하는 브레이크 밀림현상이 발생하여 안전운행에 지장,NA,지엠대우,2012-08-17
한국지엠㈜,라세티 1.5 가솔린 해치백라세티 1.6 가솔린 해치백라세티 2.0 디젤 해치백,`02.11.4,`06.3.27,전조등 전기배선 연결부위(스플라이스 팩) 결함으로 전기저항이 증가하여 연결부위가 녹아 주행 중 전조등이 작동되지 않아 안전운행에 지장,NA,지엠대우,2012-08-17
한국지엠㈜,캡티바2.2디젤라세티 프리미어 2.0디젤,`10.10.6,`12.5.29,엔진의 출력을 바퀴로 전달하는 자동변속기 내부 터빈 샤프트가 부러져 주행 중 가속이 되지 않아 안전운행에 지장,NA,지엠대우,2012-12-21
르노삼성자동차㈜,QM5,`11.1.27,`11.11.21,앞바퀴를 고정해 주는 로워암(트랜스버스 링크)의 용접불량으로 용접부위가 파손될 가능성이 있고 이 경우 조향이 되지 않아 안전운행에 지장,NA,르노삼성,2012-12-21
㈜에이엠티코리아,에이엠티줄렉커에이엠티언더리프트,`10.6.3,`11.4.27,임의로 구조물 등을 장착하여 차량 총중량을 자기인증 한 내용과 다르게 제작?판매,NA,기타,2012-03-16
지엠코리아㈜,캐딜락SRX,`10.2.25,`11.6.17,"자동변속기의 변속위치(P,R,N,D,L)를 조절해 주는 케이블이 고정되지 않아 운전자는 변속위치를 P(주차)로 작동 하였으나 실제 자동차의 변속기는 R(후진) 또는 D(주행) 등의 위치에 놓여 운전자가 의도하지 않은 상태로 주행하여 안전운행에 지장",NA,지엠대우,2012-01-16
메르세데스벤츠코리아㈜,c220 CDIE220 CDIML280CDIML300CDIS350BLUETEC,`06.4.18,`11.4.6,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",NA,다임러벤츠,2012-01-09
메르세데스벤츠코리아㈜,C220 CDIE220 CDIGLK220 CDI,`09.3.8,`11.5.31,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",NA,다임러벤츠,2012-02-20
메르세데스벤츠코리아㈜,B200,`11.2.21,`11.3.29,변속기(CVT) 결함으로 가속이 되지않는 등 운전자의 의도대로 작동이 되지않아 안전운행에 지장,NA,다임러벤츠,2012-05-07
메르세데스벤츠코리아㈜,CLS350,`11.12.1,`11.12.5,엔진후드의 보조 걸쇠 볼트를 규정보다 작게 조립하여 운행중 엔진 후드가 열려 안전운행에 지장,NA,다임러벤츠,2012-12-03
㈜에프엠케이,마제라티 그란티리스모 S,`10.10.26,NA,변속기결함으로 뒷바퀴가 고착 되어 안전운행에 지장,NA,마세라티-페라리,2012-03-01
㈜에프엠케이,마제라티 그란티리스모마제라티 그란티리스모 S마제라티 그란카브리오,`08.7.1,`10.6.30,"콤비네이션 램프(제동등, 방향지시등, 차폭등) 결함으로 점등이 되지 않아 뒤따라오는 자동차가 앞차의 예상 진행방향(정지, 방향전환 등)을 알지 못하여 안전운행에 지장",NA,마세라티-페라리,2012-03-26
㈜에프엠케이,페라리 캘리포니아페라리 458 이탈리아,`11.10.14,`12.5.31,엔진 크랭크 사프트의 변형으로 엔진이 고착되어 시동이 꺼질 가능성이 있어 안전운행에 지장,NA,마세라티-페라리,2012-06-25
스투트가르트스포츠카㈜,카이엔카이엔S카이엔 디젤카이엔S하이브리드카이엔터보,`10.3.8,`12.1.31,전조등의 조립방법이 일반적인 차량과 달라 자동차를 정비하는 과정에서 전조등조립이 정상적으로 되지 않아 주행 중 차체에서 떨어져 안전운행에 지장,NA,포르쉐,2012-03-05
스투트가르트스포츠카㈜,911카레라911카레라s911카레라 카브리올레911카레라s 카브리올레,`11.9.8,`12.1.24,연료파이프 연결장치가 냉각수 파이프와 닿을 경우 냉각수 열에 의한 변형으로 연료가 누유 되어 시동이 꺼져 안전운행에 지장,NA,포르쉐,2012-04-02
